iter	Passed	Remaining
467	1051	746
468	1053	743
469	1056	741
470	1058	739
471	1060	737
472	1062	734
473	1064	732
474	1065	729
475	1068	727
476	1070	724
477	1072	722
478	1073	719
479	1075	717
480	1077	714
481	1079	712
482	1081	709
483	1082	706
484	1086	705
485	1087	702
486	1090	700
487	1092	698
488	1095	696
489	1097	694
490	1100	692
491	1102	690
492	1103	687
493	1106	685
494	1108	682
495	1110	680
496	1112	677
497	1114	675
498	1116	673
499	1118	671
500	1120	668
501	1123	666
502	1124	664
503	1127	661
504	1129	659
505	1132	657
506	1134	655
507	1136	652
508	1138	650
509	1139	648
510	1142	646
511	1144	643
512	1146	641
513	1148	639
514	1150	636
515	1152	634
516	1154	632
517	1157	630
518	1158	627
519	1161	625
520	1162	622
521	1164	620
522	1166	617
523	1168	615
524	1170	613
525	1172	610
526	1174	608
527	1177	606
528	1178	603
529	1180	601
530	1182	599
531	1185	596
532	1187	594
533	1189	592
534	1192	590
535	1195	588
536	1197	586
537	1199	584
538	1202	582
539	1204	579
540	1205	577
541	1209	575
542	1212	573
543	1214	571
544	1216	569
545	1218	567
546	1220	564
547	1223	562
548	1224	560
549	1226	557
550	1229	555
551	1231	553
552	1233	550
553	1235	548
554	1237	546
555	1239	543
556	1240	541
557	1243	539
558	1244	536
559	1246	534
560	1248	531
561	1249	529
562	1251	526
563	1253	524
564	1257	523
565	1259	520
566	1261	518
567	1263	516
568	1264	513
569	1267	511
570	1269	509
571	1271	506
572	1273	504
573	1275	502
574	1277	499
575	1279	497
576	1281	495
577	1283	492
578	1284	490
579	1287	488
580	1288	485
581	1290	483
582	1292	481
583	1294	478
584	1296	476
585	1297	474
586	1299	471
587	1302	469
588	1305	467
589	1306	465
590	1308	462
591	1310	460
592	1312	458
593	1314	455
594	1317	453
595	1319	451
596	1321	449
597	1323	446
598	1325	444
599	1327	442
600	1329	440
601	1331	437
602	1334	436
603	1337	433
604	1338	431
605	1341	429
606	1343	427
607	1345	424
608	1347	422
609	1349	420
