iter	RMSE
265	148.760154
266	148.4734205
267	148.2138781
268	148.1174214
269	147.898537
270	147.6198732
271	147.5662211
272	147.4716963
273	147.3997241
274	147.3384287
275	147.1942741
276	147.0952147
277	147.0325628
278	146.8518869
279	146.6989542
280	146.6564873
281	146.5762171
282	146.5080222
283	146.39259
284	146.1330182
285	146.0497738
286	145.9590705
287	145.8473845
288	145.6155579
289	145.5502892
290	145.5015469
291	145.4056399
292	145.3063258
293	145.2378685
294	145.049704
295	144.9584938
296	144.8398741
297	144.7464494
298	144.7217344
299	144.6694605
300	144.6577081
301	144.608448
302	144.3994882
303	144.3562328
304	144.2984763
305	144.2221232
306	144.1245287
307	144.0548366
308	143.9426312
309	143.8373277
310	143.7333605
311	143.6151417
312	143.5303943
313	143.4543587
314	143.3244408
315	143.2769491
316	143.2073402
317	143.1444403
318	143.0583537
319	142.9187142
320	142.7198483
321	142.6246428
322	142.4085574
323	142.2875829
324	142.2739991
325	142.2385432
326	142.1886885
327	142.0487689
328	141.9603832
329	141.8335747
330	141.7120177
331	141.5507721
332	141.5308572
333	141.3381315
334	141.189707
335	141.1207961
336	141.0389371
337	141.015825
338	140.9467885
339	140.8664706
340	140.7514638
341	140.6902211
342	140.6098703
343	140.5702405
344	140.5062019
345	140.38029
346	140.2023706
347	140.0509439
348	139.9185174
349	139.7801817
350	139.7108554
351	139.6028783
352	139.4577873
353	139.3190676
354	139.2222093
355	139.2115876
356	139.108196
357	138.967972
358	138.7975853
359	138.7378367
360	138.6800316
361	138.6075825
362	138.5439156
363	138.4682489
364	138.3696342
365	138.2200615
366	138.0618341
367	137.9986904
368	137.928389
369	137.9099417
370	137.8108333
371	137.7537724
372	137.6510002
373	137.6264551
374	137.5352214
375	137.4267555
376	137.3758066
377	137.3308212
378	137.2336063
379	137.1881898
380	137.1467647
381	137.0920421
382	136.9783934
383	136.8835605
384	136.7743145
385	136.7560507
386	136.7421896
387	136.7262886
388	136.6904289
389	136.6633486
390	136.6491352
391	136.6227586
392	136.5635967
393	136.5146321
394	136.4403146
395	136.3697274
396	136.2208204
397	136.1253693
398	136.1122261
399	136.041635
400	136.0262927
401	135.8975664
402	135.8183325
403	135.7541026
404	135.6154231
405	135.5919327
406	135.5570332
407	135.4864037
408	135.4700272
409	135.4351942
410	135.3142422
411	135.242113
412	135.1797221
413	135.1038836
414	135.0254619
415	134.9492501
416	134.8410892
417	134.6863774
418	134.5385429
419	134.5113401
420	134.4969442
421	134.4285778
422	134.2945429
423	134.1692046
424	134.1477369
425	134.0681348
426	134.0387397
427	134.0101247
428	133.906972
429	133.858502
430	133.7802844
431	133.7317654
432	133.7014506
433	133.6146476
434	133.5183586
435	133.4442412
436	133.4321066
437	133.3585951
438	133.3321721
439	133.3001241
440	133.2573996
441	133.1795923
442	133.1120776
443	133.0541299
444	133.0061056
445	132.9595148
446	132.8648847
447	132.8215512
448	132.8036428
449	132.7595014
450	132.7344558
451	132.6007458
452	132.4987091
453	132.4868294
454	132.4012668
455	132.356362
456	132.3273051
457	132.2026774
458	132.1291072
459	132.0876149
460	132.0779742
461	132.0257203
462	131.9679545
463	131.9117409
464	131.8931733
465	131.8352074
466	131.7528389
467	131.6862671
468	131.5743509
469	131.5468633
470	131.4948256
471	131.3920896
472	131.3334014
473	131.2207204
474	131.1923001
475	131.155529
476	131.0750643
477	131.0367936
478	130.9829091
479	130.9120471
480	130.8617912
481	130.762073
482	130.7360111
483	130.7258535
484	130.7022075
485	130.655979
486	130.640733
487	130.5662152
488	130.5106749
489	130.4703263
490	130.422515
491	130.3719785
492	130.3319403
493	130.2308527
494	130.1266446
495	130.1089405
496	130.0407856
497	130.0022563
498	129.9325915
499	129.8392096
500	129.7533138
501	129.6935258
502	129.6479419
503	129.6123226
504	129.5910549
505	129.5539645
506	129.4960324
507	129.4502291
508	129.4211378
509	129.3844727
510	129.3189072
511	129.280043
512	129.2048131
513	129.1692085
514	129.1454293
515	129.1014866
516	129.0078362
517	128.9679276
518	128.9347847
519	128.8493765
520	128.7489978
521	128.6739267
522	128.6517313
523	128.5662673
524	128.5346154
525	128.518541
526	128.4716489
527	128.4334699
528	128.4185369
529	128.3755279
530	128.3593519
531	128.3237358
532	128.2072635
533	128.1753874
534	128.1124567
535	128.0402421
536	128.0250491
537	127.9814562
538	127.95181
539	127.9079651
540	127.8742093
541	127.7836835
542	127.7634138
543	127.7190744
544	127.6859255
545	127.6275148
546	127.5864916
547	127.4964113
548	127.4223013
549	127.3785644
550	127.2966132
551	127.2804243
552	127.1880148
553	127.147639
554	127.1170798
555	127.0410689
556	126.9826211
557	126.9455154
558	126.9433841
559	126.9152703
560	126.8565528
561	126.8211229
562	126.768002
563	126.7320748
564	126.719304
565	126.6619249
566	126.6281052
567	126.5725357
568	126.551723
569	126.5027679
570	126.4405342
571	126.4130093
572	126.3542169
573	126.3129702
574	126.276133
575	126.2433707
576	126.2080547
577	126.1413363
578	126.0844897
579	126.0502215
580	126.043573
581	125.9693944
582	125.9053682
583	125.8736954
584	125.7819164
585	125.7405041
586	125.6517021
587	125.6085612
588	125.5625018
589	125.5339469
590	125.4894161
591	125.4471085
592	125.3909696
593	125.3564357
594	125.3130985
595	125.3042926
596	125.2836436
597	125.2475661
598	125.2188243
599	125.1286887
600	125.1167599
601	125.0466525
602	125.0327934
603	124.960356
604	124.9476647
605	124.9219084
606	124.9083763
607	124.8951343
608	124.8674028
609	124.8025498
610	124.7796351
611	124.7665303
612	124.7548403
613	124.6963745
614	124.6890951
615	124.6585043
616	124.5689548
617	124.5533734
618	124.5513093
619	124.5049636
620	124.3841121
621	124.3204181
622	124.2764076
623	124.2379459
624	124.169582
625	124.1002443
626	124.0493727
627	123.9940288
628	123.9645567
629	123.9062589
630	123.8866545
631	123.8381303
632	123.8112628
633	123.8000483
634	123.7551352
635	123.6896765
636	123.6476379
637	123.5871938
638	123.5549664
639	123.4908991
640	123.4720082
641	123.4321365
642	123.4254285
643	123.3724483
644	123.3353496
645	123.3022482
646	123.2741066
647	123.2460623
648	123.2255921
649	123.2139544
650	123.1657025
651	123.1553256
652	123.1354856
653	123.121506
654	123.0562768
655	123.0462623
656	123.0018696
657	122.9964823
658	122.9598253
659	122.8963199
660	122.884687
661	122.8564266
662	122.8221101
663	122.7899145
664	122.7544946
665	122.7193743
666	122.6487779
667	122.6035452
668	122.5741301
669	122.5560685
670	122.5136851
671	122.5078691
672	122.4949419
673	122.4398819
674	122.3738439
675	122.3477869
676	122.3192874
677	122.312894
678	122.2933243
679	122.277664
680	122.2436195
681	122.2228357
682	122.2146303
683	122.1535498
684	122.1105178
685	122.1037009
686	122.0685709
687	122.0573534
688	121.9945491
689	121.9712694
690	121.9505661
691	121.9383843
692	121.9229509
693	121.8847169
694	121.8757142
695	121.8667106
696	121.8371984
697	121.8094753
698	121.7994091
699	121.7327502
700	121.7021399
701	121.670753
702	121.6402939
703	121.5829245
704	121.5710718
705	121.5506073
706	121.5340891
707	121.5259301
708	121.4696874
709	121.4538367
710	121.4218558
711	121.3902954
712	121.3509832
713	121.3310294
714	121.2971641
715	121.2488364
716	121.2388822
717	121.2061493
718	121.1806075
719	121.1449459
720	121.1383829
721	121.1113815
722	121.0973572
723	121.0785206
724	121.0466503
725	121.0221097
726	120.9945628
727	120.9407512
728	120.9327625
729	120.9238032
730	120.9066114
731	120.8561662
732	120.8485914
733	120.8178571
734	120.8066884
735	120.7994722
736	120.7780581
737	120.7713541
738	120.7555715
739	120.7301059
740	120.7120136
741	120.6755369
742	120.654998
743	120.5882789
744	120.5811567
745	120.5581741
746	120.5441999
747	120.5430007
748	120.4971911
749	120.4904464
750	120.4857622
751	120.4602461
752	120.4520172
753	120.4215575
754	120.3707027
755	120.3626194
756	120.3043913
757	120.287652
758	120.2695203
759	120.2133083
760	120.1654896
761	120.1415701
762	120.1223698
763	120.1195638
764	120.070777
765	120.0647668
766	120.0373848
767	119.9779849
768	119.9572819
769	119.9382135
770	119.9074014
771	119.8731945
772	119.8492682
773	119.8436947
774	119.8331768
775	119.7819388
776	119.7753631
777	119.7522006
778	119.7159708
779	119.6833666
780	119.6350787
781	119.5978425
782	119.5877265
783	119.5808345
784	119.523563
785	119.5054791
786	119.4900527
787	119.4640546
788	119.4025252
789	119.3549714
790	119.3470045
791	119.33657
792	119.2919891
793	119.2699208
794	119.2428929
795	119.2338092
796	119.2270978
797	119.2077079
798	119.1890332
799	119.1625567
