Mean_Free_Path,Grain_Size_um,Sinter_Temp_C,pred_formation_energy,Binder_MagpieData mode Electronegativity,pred_magnetic_moment,pred_lattice_param,Binder_MagpieData mean NsValence,Composite_MagpieData mean GSmagmom,Binder_MagpieData range MeltingT,Binder_transition metal fraction,lattice_mismatch_wc,KIC_MPa_m,Binder_Vol_Pct
0.072961295,1,1700,0.473639816,1.9,0.190090895,3.646431684,1.896610169,0.017046897,2525.53,0.981355932,0.112726576,5.9,6.8
0.072961295,1,1700,0.473639816,1.9,0.190090895,3.646431684,1.896610169,0.017046897,2525.53,0.981355932,0.112726576,6.1,6.8
0.066098011,1,1750,0.605140924,1.9,0.244740129,3.645830631,1.922297297,0.01158651,2525.53,0.986486486,0.112872828,6.1,6.2
0.066098011,1,1750,0.605140924,1.9,0.244740129,3.645830631,1.922297297,0.01158651,2525.53,0.986486486,0.112872828,6.5,6.2
0.062699189,1,1800,0.605140924,1.9,0.244740129,3.645830631,1.922297297,0.011025872,2525.53,0.986486486,0.112872828,6.3,5.9
0.064962657,1,1800,0.604868054,1.9,0.264854282,3.645830631,1.941441441,0.008507793,2525.53,0.989489489,0.112872828,6.5,6.1
0.10497226,1,1800,0.604868054,1.9,0.264854282,3.645830631,1.941458733,0.013321945,2525.53,0.990403071,0.112872828,6.3,9.5
0.166860949,1,1800,0.604868054,1.9,0.264854282,3.645830631,1.942038217,0.02004497,2525.53,0.989808917,0.112872828,7.1,14.3
0.166860949,1,1800,0.604868054,1.9,0.264854282,3.645830631,1.942038217,0.02004497,2525.53,0.989808917,0.112872828,6.7,14.3
0.066098011,1,1800,0.644303977,1.9,0.517030656,3.642079353,1.97758406,0.003503211,2525.53,0.99626401,0.113785613,6.6,6.2
0.107419593,1,1800,0.644758761,1.9,0.517030656,3.644834518,1.9768,0.00560018,2525.53,0.996,0.113115208,6.5,9.7
0.10864733,1,2000,0.625735164,1.9,0.487925023,3.644877911,1.987951807,0.003128566,2525.53,0.997740964,0.11310465,7.9,9.8
0.091702957,1,1700,0.386225492,1.91,0.261761785,3.649068117,1.846153846,0.037372614,2525.53,0.969899666,0.112085062,7.6,8.4
0.091702957,1,1700,0.386225492,1.91,0.261761785,3.649068117,1.846153846,0.037372614,2525.53,0.969899666,0.112085062,8,8.4
0.076426183,1,1725,0.473272026,1.9,0.142121598,3.646431684,1.896666667,0.02101246,2525.53,0.98,0.112726576,6.4,7.1
0.076426183,1,1725,0.473272026,1.9,0.142121598,3.646431684,1.896666667,0.02101246,2525.53,0.98,0.112726576,7,7.1
0.245329707,1,2200,0.628123164,1.9,0.487925023,3.644877911,1.987302809,0.007257852,2525.53,0.997306656,0.11310465,8.1,19.7
0.245329707,1,2200,0.628123164,1.9,0.487925023,3.644877911,1.987302809,0.007257852,2525.53,0.997306656,0.11310465,7.1,19.7
0.153402361,1,1475,0.517992735,1.88,0.535969079,3.649407148,1.939262473,0.126474578,2525.53,0.989154013,0.112002566,7.7,13.3
0.153402361,1,1475,0.517992735,1.88,0.535969079,3.649407148,1.939262473,0.126474578,2525.53,0.989154013,0.112002566,8.1,13.3
0.149425116,1,1520,0.494074494,1.88,0.258315265,3.649407148,1.900328587,0.097735181,2525.53,0.982475356,0.112002566,7.4,13
0.149425116,1,1520,0.494074494,1.88,0.258315265,3.649407148,1.900328587,0.097735181,2525.53,0.982475356,0.112002566,7.7,13
0.086956427,1,1800,0.391009152,1.91,0.251662672,3.649068117,1.843910806,0.030443956,2525.53,0.972555746,0.112085062,7.2,8
