Ratio_MeltingT,Ceramic_MagpieData maximum GSmagmom,Binder_MagpieData minimum SpaceGroupNumber,Binder_MagpieData mean NsUnfilled,Binder_MagpieData maximum NdUnfilled,Binder_MagpieData mean NdValence,Binder_MagpieData mean Electronegativity,Ceramic_MagpieData maximum GSvolume_pa,Binder_Wt_Pct,Ceramic_Ta,Binder_Ti,Sinter_Temp_C,Ceramic_Wt_Pct,Grain_Size_um,"HV, kgf/mm2"
2.126131221,0,194,0,3,7,1.88,16.05,14.5,0,0,1400,85.5,20,1650
2.126131221,0,194,0,3,7,1.88,16.05,15.5,0,0,1400,84.5,20,1270
2.126131221,0,194,0,3,7,1.88,16.05,4.5,0,0,1480,95.5,20,2090
2.126131221,0,194,0,3,7,1.88,16.05,11.5,0,0,1420,88.5,20,1800
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1396
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1340
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1298
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1238
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1178
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1147
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1113
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1600
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1560
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1507
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1447
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1349
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1302
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,30,1273
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,30,1193
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1400,94,30,1561
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1400,94,30,1719
2.126131221,0,194,0,3,7,1.88,16.05,15,0,0,1350,85,30,1868
2.126131221,0,194,0,3,7,1.88,16.05,13,0,0,1350,87,30,1820
2.126131221,0,194,0,3,7,1.88,16.05,7,0,0,1350,93,30,2154
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1400,94,30,1776
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1400,94,30,1618
2.126131221,0,194,0,3,7,1.88,16.05,4,0,0,1400,96,30,1870
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,30,1493
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,30,1541
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,30,1661
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1115
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1143
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1174
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1245
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1307
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1344
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1403
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,784
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1232
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,773
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1064
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,903
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,955
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1104
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1253
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1334
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1423
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1423
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1551
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1642
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1141
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1332
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1584
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1703
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1763
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1803
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1810
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1843
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,1682
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,2022
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1400,0,10,2353
2.126131221,0,194,0,3,7,1.88,16.05,31,0,0,1400,69,1,1443
2.126131221,0,194,0,3,7,1.88,16.05,65,0,0,1400,35,1,1336
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1500,0,50,1370
2.126131221,0,194,0,3,7,1.88,16.05,0,0,0,1500,0,50,1297
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,30,1420
2.126131221,0,194,0,3,7,1.88,16.05,2.9,0,0,1400,97.1,1,2014
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1400,94,30,1710
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1400,94,30,1860
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,30,1280
2.126131221,0,194,0,3,7,1.88,16.05,9.2,0,0,1400,90.8,30,1780
2.126131221,0,194,0,3,7,1.88,16.05,1,0,0,1400,99,1,2255
2.126131221,0,194,0,3,7,1.88,16.05,2,0,0,1400,98,1,1890
2.126131221,0,194,0,3,7,1.88,16.05,5,0,0,1400,95,1,1650
2.126131221,0,194,0,3,7,1.88,16.05,7,0,0,1400,93,1,1362
2.126131221,0,194,0,3,7,1.88,16.05,8,0,0,1400,92,1,1222
2.126131221,0,194,0,3,7,1.88,16.05,25,0,0,1400,75,100,801
2.126131221,0,194,0,3,7,1.88,16.05,20,0,0,1400,80,100,870
2.126131221,0,194,0,3,7,1.88,16.05,25,0,0,1400,75,100,889
2.126131221,0,194,0,3,7,1.88,16.05,24,0,0,1400,76,100,907
2.126131221,0,194,0,3,7,1.88,16.05,20,0,0,1400,80,100,919
2.126131221,0,194,0,3,7,1.88,16.05,11,0,0,1400,89,100,973
2.126131221,0,194,0,3,7,1.88,16.05,15,0,0,1400,85,100,987
2.126131221,0,194,0,3,7,1.88,16.05,20,0,0,1400,80,100,994
2.126131221,0,194,0,3,7,1.88,16.05,9,0,0,1400,91,100,996
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,100,1014
2.126131221,0,194,0,3,7,1.88,16.05,15,0,0,1400,85,100,1019
2.126131221,0,194,0,3,7,1.88,16.05,15,0,0,1400,85,100,1055
2.126131221,0,194,0,3,7,1.88,16.05,20,0,0,1400,80,100,1071
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1400,94,100,1073
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,100,1196
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1400,94,100,1203
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1400,94,100,1266
2.126131221,0,194,0,3,7,1.88,16.05,15.2,0,0,1400,84.8,1,935
2.126131221,0,194,0,3,7,1.88,16.05,14.7,0,0,1400,85.3,1,1020
2.126131221,0,194,0,3,7,1.88,16.05,16.74,0,0,1400,83.26,1,1035
2.126131221,0,194,0,3,7,1.88,16.05,12.2,0,0,1400,87.8,1,1050
2.126131221,0,194,0,3,7,1.88,16.05,16.27,0,0,1400,83.73,1,1075
2.126131221,0,194,0,3,7,1.88,16.05,10.2,0,0,1400,89.8,1,1070
2.126131221,0,194,0,3,7,1.88,16.05,10.32,0,0,1400,89.68,1,1105
2.126131221,0,194,0,3,7,1.88,16.05,10.93,0,0,1400,89.07,1,1225
2.126131221,0,194,0,3,7,1.88,16.05,14.52,0,0,1400,85.48,1,1160
2.126131221,0,194,0,3,7,1.88,16.05,9.31,0,0,1400,90.69,1,1225
2.126131221,0,194,0,3,7,1.88,16.05,10.57,0,0,1400,89.43,1,1300
2.126131221,0,194,0,3,7,1.88,16.05,9.23,0,0,1400,90.77,1,1300
2.126131221,0,194,0,3,7,1.88,16.05,10.9,0,0,1400,89.1,1,1265
2.126131221,0,194,0,3,7,1.88,16.05,6.35,0,0,1400,93.65,1,1335
2.126131221,0,194,0,3,7,1.88,16.05,8.18,0,0,1400,91.82,1,1370
2.126131221,0,194,0,3,7,1.88,16.05,8.01,0,0,1400,91.99,1,1430
2.126131221,0,194,0,3,7,1.88,16.05,10.24,0,0,1400,89.76,1,1440
2.126131221,0,194,0,3,7,1.88,16.05,6.1,0,0,1400,93.9,1,1450
2.126131221,0,194,0,3,7,1.88,16.05,5.91,0,0,1400,94.09,1,1595
2.126131221,0,194,0,3,7,1.88,16.05,13.75,0,0,1400,86.25,1,1645
2.126131221,0,194,0,3,7,1.88,16.05,10.3,0,0,1400,89.7,1,1750
2.126131221,0,194,0,3,7,1.88,16.05,3.97,0,0,1400,96.03,1,1710
2.126131221,0,194,0,3,7,1.88,16.05,6.27,0,0,1400,93.73,1,1653
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1420,88,10,1326
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1400,88,1,1381
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1450,88,1,1386
2.126131221,0,194,0,3,7,1.88,16.05,12,0,0,1450,88,1,1370
1.858880089,0,194,0,3,7,1.88,18.18,12,0,0,1420,88,10,1269
2.126131221,0,194,0,3,7,1.88,16.05,6,0,0,1400,94,1,1820
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,1,1540
2.126131221,0,194,0,3,7,1.88,16.05,10,0,0,1400,90,1,1200
