Unnamed: 0,Group,Subgroup,Composition,"Binder, vol-%","d, mm","HV, kgf/mm2","KIC, MPa·m1/2","Load, kgf","TRS, MPa",Sintering,"T, °C"
1,co,1.0,b WC 25 Co,37,2.2,895,20.8,5,-,-,-
2,co,1.0,b WC 19.5 Co,29.9,2.2,983,17.3,5,-,-,-
3,co,1.0,b WC 14 Co,22.3,2.2,1121,13.3,5,-,-,-
